YEAR,MONTH,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,TOR_F_SCALE,DEATHS_DIRECT,DEATHS_INDIRECT,INJURIES_DIRECT,INJURIES_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,RADAR_2026
1997,10,27.85,-81.98,27.85,-81.98,F1,0,0,0,0,50000.0,0.0,True
1997,11,32.22,-84.52,32.22,-84.43,F1,0,0,0,0,100000.0,50000.0,True
1997,10,28.05,-82.38,28.07,-82.37,F0,0,0,0,0,10000.0,0.0,True
1997,10,27.48,-82.42,27.48,-82.42,F0,0,0,0,0,60000.0,0.0,True
1997,10,27.33,-82.6,27.33,-82.6,F0,0,0,0,0,0.0,0.0,True
1997,10,34.9,-110.18,34.9,-110.18,F0,0,0,0,0,0.0,0.0,True
1997,8,40.4,-73.98,40.4,-73.98,F0,0,0,0,0,50000.0,0.0,True
1997,10,27.9,-82.03,27.93,-81.95,F1,0,0,0,0,400000.0,0.0,True
1997,11,32.23,-84.3,32.23,-84.22,F1,0,0,0,0,250000.0,20000.0,True
1997,8,40.33,-79.32,40.35,-79.27,F2,0,0,2,0,800000.0,10000.0,True
1997,9,38.3,-78.2,38.32,-78.2,F1,0,0,0,0,15000.0,5000.0,True
1997,10,28.07,-82.23,28.05,-82.2,F1,0,0,0,0,125000.0,0.0,True
1997,10,28.02,-82.83,28.02,-82.83,F0,0,0,0,0,2000.0,0.0,True
1997,10,28.02,-82.42,28.02,-82.42,F0,0,0,0,0,100000.0,0.0,True
1997,11,36.93,-119.58,36.93,-119.58,F0,0,0,0,0,10000.0,0.0,True
1997,10,32.27,-100.85,32.27,-100.85,F1,0,0,0,0,100000.0,10000.0,True
1997,11,27.1,-81.95,27.08,-81.97,F0,0,0,0,0,5000.0,0.0,True
1997,11,27.78,-81.8,27.78,-81.8,F0,0,0,0,0,75000.0,0.0,True
1997,10,27.87,-82.85,27.97,-82.73,F1,0,0,4,0,4500000.0,0.0,True
1997,10,29.98,-94.97,30.02,-94.93,F1,0,0,0,0,50000.0,5000.0,True
1997,8,48.42,-119.52,48.42,-119.52,F0,0,0,0,0,0.0,0.0,True
1997,11,37.03,-120.85,37.0,-120.85,F0,0,0,0,0,5000.0,0.0,True
1997,11,36.93,-119.68,36.93,-119.68,F0,0,0,0,0,1000.0,0.0,True
1997,9,38.22,-78.12,38.22,-78.12,F0,0,0,0,0,0.0,0.0,True
1997,9,35.15,-111.02,35.15,-111.02,F0,0,0,0,0,0.0,0.0,True
